LME_EcoOcean,Fleet Number,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
2,10,0.505825924,0.51081719,0.557858946,0.558287511,0.47439219,9.936357209,11.00043607,10.45694678,0.073752648,12.14993825,9.053670558,9.404912148,10.07321006,9.556831248,9.676760886,4.410094626,4.811279005,4.118612228,3.831949064,2.715484044,3.486019423,3.34174298,0.250757842,0.270240578,0.202179266,3.728090074,5.08734579,4.79396402,4.688482636,2.218009642,0.975820139,5.93776471,4.965050837,5.209545689,5.201922978,0.846569934,0.832158138,6.329309164,4.680471213,0.374465097,0.330641931,0.287017087,0.294021192,0.234775734,0.157191608,0.133882096,0.07921209,0.085000131,0.047327423,0.02868123,0.021221311,0.019545569,0.020301859,0.032251938,0.031666864,0.032178477,0.030528659,0.017236967,0.012714598,0.010901908,0.014272289
2,11,0.538540269,0.435535865,0.427636143,0.402436873,0.341230879,2.977491412,3.130296078,3.348366182,0.432856255,3.213413434,2.681657566,3.552257534,3.598064468,3.428174688,3.497614875,2.380561796,2.263708734,2.037320658,2.02719019,1.656259217,2.086566028,1.99743417,0.877751841,0.877550611,0.754445914,2.101835046,2.46176237,2.199224117,2.399881443,0.501755821,0.507953183,3.088895049,3.349079798,3.503779638,3.257680588,0.380423522,0.303566303,2.952824284,2.725877186,0.059858484,0.056979237,0.066793215,0.054392381,0.042201776,0.035272854,0.012444519,0.007866279,0.008350183,0.004613397,0.003334537,0.003364225,0.003459393,0.002113961,0.005386381,0.005178535,0.004291173,0.003417342,0.002282271,0.002067206,0.000246462,0.002140956
2,12,0.728944883,0.777290708,0.613065388,0.904709714,0.770535217,1.082211636,1.154343699,1.066653459,1.047408983,1.654770371,2.70576269,3.061345001,3.206575754,2.33024287,2.527590647,2.913727103,3.379218271,3.344413518,2.254622894,1.894933692,2.685676739,3.070446259,1.785838927,1.757208918,1.846971813,1.682695297,2.228367069,2.32748161,1.833965116,1.965888258,2.249731721,3.322164266,3.598499011,3.173232274,4.33037,3.407334917,4.426172003,5.739230399,6.049794631,4.803847219,4.901458744,4.374187436,4.779042212,5.14869146,3.850139144,3.786632763,3.703697668,3.36977474,3.278472868,2.996141643,2.810392344,3.029165771,2.694724705,2.761294398,3.30551166,3.674703219,3.3424211,3.005030764,2.287492537,2.06424214,2.682902909
2,13,1.901940782,2.131603129,1.637447743,2.60614236,3.097302149,2.594584803,1.986621084,1.954808852,2.795771993,2.158580268,2.116880104,1.963479109,1.68196501,1.591763384,1.861212011,2.686677595,2.476749078,2.028477711,2.63555937,2.09854354,2.44272103,2.32177072,0.85389543,0.863809331,0.937943069,0.733429102,1.001995101,1.025914895,0.795133974,0.793056222,0.891460467,0.792719798,1.700514565,1.872095518,1.942945636,3.735480642,4.211887235,2.583554399,2.505922477,3.58754985,3.399113475,3.308958655,3.229655895,3.571511586,3.284405004,3.24042681,2.905017542,2.668646367,2.446492078,1.699596052,1.586325254,1.590787667,1.771723361,1.634907231,0.745333049,0.925203477,0.891228138,0.753900493,1.126666561,1.02532784,0.644958586
2,14,1.599003959,1.489974093,1.339334111,1.518110279,1.447499744,1.153980915,1.069741999,1.06983503,1.331852644,1.323383065,1.139739168,1.022793639,1.072346236,1.181392994,1.444859235,1.590678549,1.919158421,2.148337886,2.729692665,2.817644885,3.208012442,3.370651524,3.102676291,3.137338469,2.955980369,2.86576319,2.697963827,1.824077293,1.837823719,2.008310232,2.105455421,2.010213016,1.975127259,2.087332186,2.069985296,2.560218107,2.492452177,2.100584606,1.394568949,1.802507032,1.824622645,1.765318188,1.989268061,2.121699721,1.932094658,1.720205653,1.765868732,1.691291078,1.612563443,1.174008818,1.301811545,1.357086562,1.470120377,1.271948754,0.918732223,0.831267918,0.907639167,0.790434311,1.060210726,0.979781111,0.700347966
2,15,0.363590672,0.320702768,0.315315806,0.297411125,0.315626787,0.233152909,0.254200601,0.239843621,0.300997595,0.220413934,0.922269545,0.994332448,0.984433846,0.863007844,1.077828998,1.018051969,0.994769171,0.930592564,0.8155964,0.690374718,0.731961509,0.717056664,0.749641394,0.691300455,0.811957015,0.716374442,0.799261366,0.815207257,0.744952986,0.745625715,0.764575932,1.067298501,1.153374416,1.140537904,1.075346546,1.265590094,1.740442675,1.466217626,1.464517732,1.575309317,1.634663046,1.593580243,1.643923679,1.907160781,1.599924531,1.638652689,1.404827055,1.554430487,1.444446348,1.38100919,1.0346394,1.179603258,1.125622035,1.037795459,1.091230481,0.966796525,0.944285228,0.656405116,0.701117835,0.653653095,0.661674627
2,16,0.21051456,0.19014065,0.188554521,0.172186967,0.185766779,0.156364349,0.17032646,0.168986464,0.180265269,0.115830874,0.40725438,0.535601738,0.494205343,0.387184794,0.510383869,0.448680194,0.420011987,0.379403523,0.335663152,0.312865584,0.34451494,0.362387393,0.421031421,0.459049698,0.452783548,0.378869565,0.434752371,0.41352509,0.372099006,0.387867668,0.559042622,0.366471997,0.435795462,0.58179601,0.81752266,0.761955835,0.731638823,0.666444295,0.730865781,0.730876425,0.659303726,0.809736531,0.578764082,0.785345782,0.728028726,0.746267136,0.620670773,0.562832288,0.522302597,0.460216029,0.505837535,0.56454579,0.491681264,0.527390479,0.364276086,0.823073338,0.594172897,0.463231517,0.454386328,0.431673872,0.605541468
3,1,1.185682895,0.860460463,1.172420911,0.673375101,1.287427374,1.755038517,1.87227347,2.121485068,1.673505148,1.752519747,4.668715284,4.757205297,5.072223179,2.073106081,1.852226,0.592997612,1.877030159,1.881052072,0.774273041,0.524911583,0.615085257,0.726438187,1.891073632,2.207117688,1.778201826,2.073136838,2.105976791,2.165768213,1.201543444,0.85147928,1.09452417,1.41666977,1.901326462,1.136424551,1.157392573,1.327738189,1.665283581,1.923043541,1.906666737,2.128692242,2.285347545,1.354887379,1.632712611,2.005408486,2.472242991,2.233148578,2.921123145,2.425040083,2.11708926,2.783695869,2.938758083,2.684100623,2.308237082,2.230496687,2.575320332,2.261134995,2.316006889,2.093213401,2.281648999,1.596459787,2.115048743
3,2,,,,,,,,,,,,,,,,,,,,,9.44E-07,,5.97E-06,8.29E-05,0.0171277,,,5.28E-07,2.44E-09,2.26E-08,2.29E-07,,,,,,,,,2.55E-05,,,,,,,,,,,6.26E-07,4.71E-05,,,,,,1.43E-05,,,9.08E-08
3,3,0.329567542,0.436299941,0.438602268,0.508595303,0.429718877,0.4867095,0.426919355,0.486259643,0.535143956,0.680863156,0.682972241,0.762482468,0.601789952,0.570883742,0.543856537,0.605292357,0.715053639,0.833458359,0.68420473,0.665514244,0.628124799,0.680317783,0.642463372,0.68286537,0.707842865,0.795837932,0.821976213,0.991070907,0.693277277,0.84379168,0.9926275,1.094387628,1.139819079,0.85846973,0.854960255,0.799317918,1.015727326,1.123081232,0.972081371,1.130845414,1.02652614,0.729045549,0.731199676,0.918661492,1.132598412,1.007053204,1.0824431,0.999479389,0.896599802,1.030823525,1.081026395,1.034970102,0.971736171,0.818797312,0.874114332,0.894496178,1.102376058,1.038572273,1.026618358,0.892931066,1.039941972
